R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R19287|C2=|C3=02.2512039|C4=|C5=29-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.967.808,00|C23=1,00|C24=1,00|C25=1.967.808,00|C26=0,00
R19296|C2=|C3=06.2309003|C4=|C5=12-09-2023|C7=IDR|C9=1,00|C21=0,00|C22=7.770.000,00|C23=1,00|C24=1,00|C25=7.770.000,00|C26=0,00
R19641|C2=|C3=06.2507004|C4=|C5=08-07-2025|C7=IDR|C9=1,00|C21=0,00|C22=61.400.000,00|C23=1,00|C24=1,00|C25=61.400.000,00|C26=0,00
R19760|C2=|C3=03.2403044|C4=|C5=28-03-2024|C7=IDR|C9=1,00|C21=0,00|C22=7.379.280,00|C23=1,00|C24=1,00|C25=7.379.280,00|C26=0,00
R19761|C2=|C3=03.2403045|C4=|C5=28-03-2024|C7=IDR|C9=1,00|C21=0,00|C22=7.379.280,00|C23=1,00|C24=1,00|C25=7.379.280,00|C26=0,00
R19763|C2=|C3=03.2404015|C4=|C5=16-04-2024|C7=IDR|C9=1,00|C21=0,00|C22=7.379.280,00|C23=1,00|C24=1,00|C25=7.379.280,00|C26=0,00
R19797|C2=|C3=01.2506043|C4=|C5=20-06-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.359.525,00|C23=1,00|C24=1,00|C25=4.359.525,00|C26=0,00
R20032|C2=|C3=04.2512006|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R20995|C2=|C3=04.2512004|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R20996|C2=|C3=04.2512005|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R20997|C2=|C3=04.2512008|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R20998|C2=|C3=04.2512007|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R20999|C2=|C3=04.2512009|C4=|C5=18-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R21000|C2=|C3=04.2512010|C4=|C5=19-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R21001|C2=|C3=04.2512011|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R21002|C2=|C3=04.2512013|C4=|C5=24-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R21003|C2=|C3=04.2512012|C4=|C5=24-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=17.538.000,00|C23=1,00|C24=1,00|C25=17.538.000,00|C26=0,00
R21073|C2=|C3=01.2512028|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=7.018.530,00|C23=1,00|C24=1,00|C25=7.018.530,00|C26=0,00
R21078|C2=|C3=03.2002049|C4=|C5=18-02-2020|C7=IDR|C9=1,00|C21=0,00|C22=31.350.000,00|C23=1,00|C24=1,00|C25=31.350.000,00|C26=0,00
TOTAL_ROWS|309
