R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R3707|C2=|C3=03.2511035|C4=|C5=12-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=89.240.000,00|C23=1,00|C24=1,00|C25=89.240.000,00|C26=0,00
R3708|C2=|C3=03.2511055|C4=|C5=18-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=89.240.000,00|C23=1,00|C24=1,00|C25=89.240.000,00|C26=0,00
R3709|C2=|C3=03.2511071|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=89.240.000,00|C23=1,00|C24=1,00|C25=89.240.000,00|C26=0,00
R3710|C2=|C3=03.2512033|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.094.000,00|C23=1,00|C24=1,00|C25=350.094.000,00|C26=0,00
R3711|C2=|C3=03.2512052|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.094.000,00|C23=1,00|C24=1,00|C25=350.094.000,00|C26=0,00
R3712|C2=|C3=03.2512073|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.094.000,00|C23=1,00|C24=1,00|C25=350.094.000,00|C26=0,00
R3997|C2=|C3=01.2512045|C4=|C5=30-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=9.983.340,00|C23=1,00|C24=1,00|C25=9.983.340,00|C26=0,00
R4060|C2=|C3=03.2512041|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=91.020.000,00|C23=1,00|C24=1,00|C25=91.020.000,00|C26=0,00
R4061|C2=|C3=03.2512040|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=91.020.000,00|C23=1,00|C24=1,00|C25=91.020.000,00|C26=0,00
R4062|C2=|C3=03.2512039|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=91.020.000,00|C23=1,00|C24=1,00|C25=91.020.000,00|C26=0,00
R4063|C2=|C3=03.2512038|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=91.020.000,00|C23=1,00|C24=1,00|C25=91.020.000,00|C26=0,00
R4064|C2=|C3=03.2512037|C4=|C5=12-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=91.020.000,00|C23=1,00|C24=1,00|C25=91.020.000,00|C26=0,00
R4316|C2=|C3=06.2507002|C4=|C5=07-07-2025|C7=IDR|C9=1,00|C21=0,00|C22=170.995.500,00|C23=1,00|C24=1,00|C25=170.995.500,00|C26=0,00
R4317|C2=|C3=06.2507003|C4=|C5=07-07-2025|C7=IDR|C9=1,00|C21=0,00|C22=233.322.000,00|C23=1,00|C24=1,00|C25=233.322.000,00|C26=0,00
R4318|C2=|C3=06.2512001|C4=|C5=30-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=3.775.000.000,00|C23=1,00|C24=1,00|C25=3.775.000.000,00|C26=0,00
R4319|C2=|C3=06.2512004|C4=|C5=30-12-2025|C7=CNY|C9=2.373,54|C21=524.609,31|C22=1.245.181.181,66|C23=2.373,54|C24=2.400,67|C25=1.259.413.832,24|C26=14.232.650,58
R4320|C2=|C3=06.2512005|C4=|C5=29-12-2025|C7=CNY|C9=2.373,54|C21=385.679,36|C22=915.425.388,13|C23=2.373,54|C24=2.400,67|C25=925.888.869,17|C26=10.463.481,04
R4335|C2=|C3=04.2512003|C4=|C5=01-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=24.000.000,00|C23=1,00|C24=1,00|C25=24.000.000,00|C26=0,00
R4357|C2=|C3=03.2310017|C4=|C5=12-10-2023|C7=IDR|C9=1,00|C21=0,00|C22=-1,00|C23=1,00|C24=1,00|C25=-1,00|C26=0,00
R4358|C2=|C3=03.2310024|C4=|C5=25-10-2023|C7=IDR|C9=1,00|C21=0,00|C22=-200,00|C23=1,00|C24=1,00|C25=-200,00|C26=0,00
R4651|C2=|C3=03.2511032|C4=|C5=13-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4652|C2=|C3=03.2511033|C4=|C5=13-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4653|C2=|C3=03.2511037|C4=|C5=14-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4654|C2=|C3=03.2511038|C4=|C5=14-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4655|C2=|C3=03.2511039|C4=|C5=14-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4656|C2=|C3=03.2511059|C4=|C5=19-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4657|C2=|C3=03.2511060|C4=|C5=19-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4658|C2=|C3=03.2511061|C4=|C5=19-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4659|C2=|C3=03.2511069|C4=|C5=22-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
