=== GL 226-001: Entry BUKAN BTB invoice/pembayaran (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|ORDER_REFF|K|D|NET
101PD160100013|01/01/2016 00:00:00|101PD160100013|101PD160100013|2900000.000000|0.000000|2900000.000000
1011601MEMO0022|01/01/2016 00:00:00|Hutang Dagang - AJP Saldo Awal 2016||222350887.980000|0.000000|222350887.980000
101PD160100015|01/01/2016 00:00:00|101PD160100015|101PD160100015|4350000.000000|0.000000|4350000.000000
101PD160100009|01/01/2016 00:00:00|101PD160100009|101PD160100009|540000.000000|0.000000|540000.000000
101PD160100004|01/01/2016 00:00:00|101PD160100004|101PD160100004|7146.000000|0.000000|7146.000000
101PD171200001|01/01/2016 00:00:00|101PD171200001|101PD171200001|700000.000000|0.000000|700000.000000
101PD160100008|01/01/2016 00:00:00|101PD160100008|101PD160100008|870000.000000|0.000000|870000.000000
101PD160100014|01/01/2016 00:00:00|101PD160100014|101PD160100014|5100000.000000|0.000000|5100000.000000
101PD160100012|01/01/2016 00:00:00|101PD160100012|101PD160100012|2220000.000000|0.000000|2220000.000000
1011501MEMO0028|01/01/2015 00:00:00|Hutang Dagang - AJP 2014 AP Ekspedisi||249443429.000000|0.000000|249443429.000000
101PD150100001|01/01/2015 00:00:00|101PD150100001|101PD150100001|0.000000|66196830.000000|-66196830.000000
1011312NK0056|12/31/2013 00:00:00|1011312NK0056|1011312NK0056|16149000.000000|0.000000|16149000.000000
1011312NK0059|12/31/2013 00:00:00|1011312NK0059|1011312NK0059|27500000.000000|0.000000|27500000.000000
1011312NK0055|12/31/2013 00:00:00|1011312NK0055|1011312NK0055|6616260.000000|0.000000|6616260.000000
101PD131200004|12/31/2013 00:00:00|101PD131200004|101PD131200004|317355649.200000|0.000000|317355649.200000
1011312NK0051|12/31/2013 00:00:00|1011312NK0051|1011312NK0051|4063500.000000|0.000000|4063500.000000
1011312NK0050|12/31/2013 00:00:00|1011312NK0050|1011312NK0050|42000000.000000|0.000000|42000000.000000
101PD131200009|12/31/2013 00:00:00|101PD131200009|101PD131200009|4550000.000000|0.000000|4550000.000000
101PD131200010|12/31/2013 00:00:00|101PD131200010|101PD131200010|567800.000000|0.000000|567800.000000
101PD131200015|12/31/2013 00:00:00|101PD131200015|101PD131200015|25630000.000000|0.000000|25630000.000000
101PD131200019|12/31/2013 00:00:00|101PD131200019|101PD131200019|95000000.000000|0.000000|95000000.000000
1011312NK0036|12/31/2013 00:00:00|1011312NK0036|1011312NK0036|1949205.000000|0.000000|1949205.000000
1011312NK0018|12/31/2013 00:00:00|1011312NK0018|1011312NK0018|3138000.000000|0.000000|3138000.000000
1011312NK0032|12/31/2013 00:00:00|1011312NK0032|1011312NK0032|317355649.000000|0.000000|317355649.000000
1011312NK0014|12/31/2013 00:00:00|1011312NK0014|1011312NK0014|3573.000000|0.000000|3573.000000
1011312NK0008|12/31/2013 00:00:00|1011312NK0008|1011312NK0008|11820000.000000|0.000000|11820000.000000
101PD131200024|12/31/2013 00:00:00|101PD131200024|101PD131200024|2653500.000000|0.000000|2653500.000000
101PD131200028|12/31/2013 00:00:00|101PD131200028|101PD131200028|741600000.000000|0.000000|741600000.000000
1011312NK0004|12/31/2013 00:00:00|1011312NK0004|1011312NK0004|25630000.000000|0.000000|25630000.000000
101PD131200033|12/31/2013 00:00:00|101PD131200033|101PD131200033|10989600.000000|0.000000|10989600.000000
