"tgl","bukti","voucher","item","akun","qty","user","avg_awal_bln","beli_unit_bln","avg_ref","est_nilai_hilang","klasifikasi"
"2026-02-27","10126022200140","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-27","10126022200147","","TR.038","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-27","10126022200151","","TR.1007","102-001","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-21","10126012200094","","NR.401","102-003","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-30","10126012200132","","NR.401","102-003","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-13","10126012200051","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-13","10126012200051","","TYU-001A","102-010","1.00","alfa","0.0000","5336000.0000","5336000.0000","5336000.00","BUG-kandidat (isi average)"
"2026-01-15","10126012200063","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-15","10126012200062","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-20","10126012200090","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-20","10126012200074","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-21","10126012200091","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-27","10126012200111","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-27","10126012200110","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200019","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200020","","TYU-001","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200020","","TYU-001B","102-010","1.00","alfa","2730000.0000","0.0000","2730000.0000","2730000.00","BUG-kandidat (isi average)"
"2026-02-03","10126022200019","","TYU-001B","102-010","1.00","alfa","2730000.0000","0.0000","2730000.0000","2730000.00","BUG-kandidat (isi average)"
"2026-02-27","10126022200148","","TYU-005A","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-27","10126022200148","","TYU-005","102-010","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-08","10126012200026","R 8318 K","TS.102-1081","102-101","1.00","DIKI","5316287.8400","0.0000","5316287.8400","5316287.84","BUG-kandidat (isi average)"
"2026-01-19","10126012200065","","TS.102-1081","102-101","1.00","alfa","5316287.8400","0.0000","5316287.8400","5316287.84","BUG-kandidat (isi average)"
"2026-01-22","10126012200089","N 9306 UV ","TS.102-1081","102-101","1.00","diki","5316287.8400","0.0000","5316287.8400","5316287.84","BUG-kandidat (isi average)"
"2026-02-02","10126022200001","","TS.102-1081","102-101","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-03","10126022200007","B 9833 SYP","TS.067-2818","102-101","1.00","diki","3169131.4600","0.0000","3169131.4600","3169131.46","BUG-kandidat (isi average)"
"2026-02-04","10126022200008","","TS.067-2912","102-101","1.00","alfa","4139594.8500","0.0000","4139594.8500","4139594.85","BUG-kandidat (isi average)"
"2026-02-06","10126022200023","","TS.102-1181","102-101","1.00","alfa","5333706.7100","0.0000","5333706.7100","5333706.71","BUG-kandidat (isi average)"
"2026-02-13","10126022200060","","TS.102-1081","102-101","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-25","10126022200112","","TS.067-2902","102-101","1.00","alfa","6296260.9400","0.0000","6296260.9400","6296260.94","BUG-kandidat (isi average)"
"2026-01-13","10126012200039","","TL.091-9637","102-102","10.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-13","10126012200038","","TL.091-9637","102-102","5.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-05","10126022200016","DK 8506 FZ","NDS.12.1.12.0084","102-103","2.00","DIKI","0.0000","1086240.0000","1086240.0000","2172480.00","BUG-kandidat (isi average)"
"2026-01-05","10126012200005","","LB.015.3211","102-110","1.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-07","10126012200012","","LH.02.0005","102-110","4.00","alfa","14997.0500","0.0000","14997.0500","59988.20","BUG-kandidat (isi average)"
"2026-01-14","10126012200048","","LH.01.0006","102-110","3.00","alfa","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-01-14","10126012200048","","LH.01.0007","102-110","3.00","alfa","230000.0000","0.0000","230000.0000","690000.00","BUG-kandidat (isi average)"
"2026-01-29","10126012200120","B 9754 UXZ","LP.08.0010","102-110","1.00","diki","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-12","10126022200047","B 9785 UCD","LK.06.0004","102-110","1.00","diki","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-26","10126022200121","B 9868 UXZ","LK.02.0064","102-110","6.00","diki","1.0000","0.0000","1.0000","6.00","BUG-kandidat (isi average)"
"2026-02-26","10126022200121","B 9868 UXZ","LP.08.0010","102-110","1.00","diki","0.0000","0.0000","0","0.00","CEK-0 (tak ada cost basis -> keputusan accounting)"
"2026-02-06","10126022200021","","BF.01.0006","102-203","1.00","alfa","0.0000","50500000.0000","50500000.0000","50500000.00","BUG-kandidat (isi average)"
"2026-02-27","10126022200148","","BF.01.0013","102-203","1.00","alfa","0.0000","67000000.0000","67000000.0000","67000000.00","BUG-kandidat (isi average)"
