PKT-0064|5250000.00|0.00|5250000.00|0.00
PKT-0065|2550000.00|0.00|2550000.00|0.00
PKT-0066|2525000.00|0.00|2525000.00|0.00
PKT-0067|5670000.00|0.00|5670000.00|0.00
PKT-0068|1950000.00|0.00|1950000.00|0.00
PKT-0069|5000000.00|0.00|5000000.00|0.00
PKT-0070|1275000.00|0.00|1275000.00|0.00
PKT-0071|2550000.00|0.00|2550000.00|0.00
PKT-0072|6060000.00|0.00|6060000.00|0.00
PKT-0073|5190000.00|0.00|5190000.00|0.00
PKT-0074|285000.00|0.00|285000.00|0.00
PKT-0075|415000.00|0.00|415000.00|0.00
PKT-0076|1250000.00|0.00|1250000.00|0.00
PKT-0077|7153637.00|0.00|7153637.00|0.00
PKT-0078|1439000.00|0.00|1439000.00|0.00
PKT-0079|700000.00|0.00|700000.00|0.00
PKT-0080|249000.00|0.00|249000.00|0.00
PKT-0081|797000.00|0.00|797000.00|0.00
PKT-0082|950000.00|0.00|950000.00|0.00
PKT-0083|640000.00|0.00|640000.00|0.00
PKT-0084|1300000.00|0.00|1300000.00|0.00
PKT-0085|900000.00|0.00|900000.00|0.00
PKT-0086|340000.00|0.00|340000.00|0.00
PKT-0087|1200000.00|0.00|1200000.00|0.00
PKT-0088|1380000.00|0.00|1380000.00|0.00
PKT-0089|5600000.00|0.00|5600000.00|0.00
PKT-0090|189000.00|0.00|189000.00|0.00
PKT-0091|4500000.00|0.00|4500000.00|0.00
PKT-0092|2550000.00|0.00|2550000.00|0.00
PKT-0093|5750000.00|0.00|5750000.00|0.00
PKT-0094|1225000.00|0.00|1225000.00|0.00
PKT-0095|10060000.00|0.00|10060000.00|0.00
PKT-0096|4725000.00|0.00|4725000.00|0.00
PKT-0097|115000.00|0.00|115000.00|0.00
PKT-0098|7109000.00|0.00|7109000.00|0.00
PKT-0099|4179000.00|0.00|4179000.00|0.00
PKT-0100|2275000.00|0.00|2275000.00|0.00
PKT-0101|2275000.00|0.00|2275000.00|0.00
PKT-0102|2500000.00|0.00|2500000.00|0.00
PKT-0103|3800000.00|0.00|3800000.00|0.00
PKT-0104|1200000.00|0.00|1200000.00|0.00
PKT-0105|4575000.00|0.00|4575000.00|0.00
PKT-0106|7900000.00|0.00|7900000.00|0.00
PKT-0107|7560000.00|0.00|7560000.00|0.00
PKT-0108|1175000.00|0.00|1175000.00|0.00
PKT-0109|3299000.00|0.00|3299000.00|0.00
PKT-0110|2060000.00|0.00|2060000.00|0.00
PKT-0111|6100000.00|0.00|6100000.00|0.00
PKT-0112|6100000.00|0.00|6100000.00|0.00
PKT-0113|6130000.00|0.00|6130000.00|0.00
PKT-0114|41545000.00|0.00|41545000.00|0.00
PKT-0115|6200000.00|0.00|6200000.00|0.00
PKT-0116|855400.00|0.00|855400.00|0.00
PKT-0117|5440000.00|0.00|5440000.00|0.00
PKT-0118|2258000.00|0.00|2258000.00|0.00
PKT-0119|701000.00|0.00|701000.00|0.00
PKT-0120|6200000.00|0.00|6200000.00|0.00
PKT-0121|27045200.00|0.00|27045200.00|0.00
PKT-0122|4706000.00|0.00|4706000.00|0.00
PKT-0123|3900000.00|0.00|3900000.00|0.00
PKT-0124|1200000.00|0.00|1200000.00|0.00
PKT-0125|235000.00|0.00|235000.00|0.00
PKT-0126|280000.00|0.00|280000.00|0.00
PKT-0127|1225900.00|0.00|1225900.00|0.00
PKT-0128|13300000.00|0.00|13300000.00|0.00
PKT-0129|1996000.00|0.00|1996000.00|0.00
PKT-0130|625000.00|0.00|625000.00|0.00
PKT-0131|1448000.00|0.00|1448000.00|0.00
PKT-0132|24900000.00|0.00|24900000.00|0.00
PKT-0133|4300000.00|0.00|4300000.00|0.00
PKT-0134|3105000.00|0.00|3105000.00|0.00
PKT-0135|9980000.00|0.00|9980000.00|0.00
PKT-0136|32550000.00|0.00|32550000.00|0.00
PKT-0137|11850000.00|0.00|11850000.00|0.00
PKT-0138|2020000.00|0.00|2020000.00|0.00
PKT-0139|12197000.00|0.00|12197000.00|0.00
PKT-0140|2576100.00|0.00|2576100.00|0.00
PKT-0141|50000000.00|0.00|50000000.00|0.00
PKT-0142|50000000.00|0.00|50000000.00|0.00
PKT-0143|8525000.00|0.00|8525000.00|0.00
PKT-0144|2961900.00|0.00|2961900.00|0.00
PKT-0145|12100000.00|0.00|12100000.00|0.00
PKT-0146|1878000.00|0.00|1799750.00|78250.00
PKT-0147|9245000.00|0.00|8089375.00|1155625.00
PKT-0148|2508600.00|0.00|2142762.50|365837.50
PKT-0149|4700000.00|0.00|3622916.67|1077083.33
PKT-0151|9306000.00|0.00|7173375.00|2132625.00
PKT-0152|6300000.00|0.00|4725000.00|1575000.00
PKT-0153|8600000.00|0.00|5554166.67|3045833.33
PKT-0154|2799000.00|0.00|1749375.00|1049625.00
PKT-0155|7250000.00|0.00|4531250.00|2718750.00
PKT-0156|7350000.00|0.00|4593750.00|2756250.00
PKT-0157|4750500.00|0.00|2771125.00|1979375.00
PKT-0158|7600000.00|0.00|4275000.00|3325000.00
PKT-0159|1100000.00|0.00|481250.00|618750.00
PKT-0160|8584685.00|0.00|3219256.88|5365428.12
PKT-0161|7503603.00|0.00|2813851.12|4689751.88
PKT-0162|4147866.00|0.00|1555449.75|2592416.25
PKT-0163|11300000.00|0.00|4002083.33|7297916.67
PKT-0164|12938000.00|0.00|4312666.67|8625333.33
PKT-0165|3799000.00|0.00|1266333.33|2532666.67
PKT-0166|8017117.00|0.00|2338325.79|5678791.21
PKT-0167|2072072.00|0.00|604354.33|1467717.67
PKT-0168|7757855.00|0.00|1939463.75|5818391.25
PKT-0169|4670200.00|0.00|1167550.00|3502650.00
PKT-0170|3706712.00|0.00|926678.00|2780034.00
PKT-0171|4400000.00|0.00|916666.67|3483333.33
PKT-0172|2522524.00|0.00|472973.25|2049550.75
PKT-0173|2229500.00|0.00|325135.42|1904364.58
PKT-0174|18866600.00|0.00|1572216.67|17294383.33
PKT-0175|2388155.00|0.00|199012.92|2189142.08
PKT-0176|2073400.00|0.00|86391.67|1987008.33
PKT-0177|3750000.00|0.00|78125.00|3671875.00
PKT-0178|0.00|0.00|0.00|0.00
PKT-0179|0.00|0.00|0.00|0.00
