'10101260100004','2026-01-06 00:00:00.000','102-110',0.000000,167500.000000,'L-LOKAL','10101260100004'
'10101260100004','2026-01-06 00:00:00.000','102-110',0.000000,915401.510000,'L-LOKAL','10101260100004'
'10101260100004','2026-01-06 00:00:00.000','102-102',0.000000,130647.000000,'TL-SPARE PARTS THERMO KING LOKAL','10101260100004'
'10101260100004','2026-01-06 00:00:00.000','102-101',0.000000,663140.360000,'TS-SPARE PARTS THERMO KING','10101260100004'
'10101260100005','2026-01-06 00:00:00.000','102-101',0.000000,325978.300000,'TS-SPARE PARTS THERMO KING','10101260100005'
'10101260100006','2026-01-06 00:00:00.000','102-110',0.000000,763815.470000,'L-LOKAL','10101260100006'
'10101260100006','2026-01-06 00:00:00.000','102-101',0.000000,172189.540000,'TS-SPARE PARTS THERMO KING','10101260100006'
'10101260100006','2026-01-06 00:00:00.000','102-101',0.000000,161212.630000,'TS-SPARE PARTS THERMO KING','10101260100006'
'10203260100005','2026-01-06 00:00:00.000','102-020',0.000000,38464452.490000,'101251200066 ANUGERAH MITRA LOGISTIK     ','10203260100005'
'10203260100005','2026-01-06 00:00:00.000','102-001',38464452.490000,0.000000,'101251200066 ANUGERAH MITRA LOGISTIK     ','10203260100005'
'101KM260100005','2026-01-06 00:00:00.000','102-102',0.000000,753435.000000,'PT. HASIL MELIMPAH T-1200  07.2601008','101KM260100005'
'101KM260100005','2026-01-06 00:00:00.000','102-101',0.000000,902966.160000,'PT. HASIL MELIMPAH T-1200  07.2601008','101KM260100005'
'101KM260100006','2026-01-06 00:00:00.000','102-101',0.000000,7153070.910000,'KOPJAS TRANSPORTASI SV-600 24V  07.2601007','101KM260100006'
'101KM260100007','2026-01-06 00:00:00.000','102-110',0.000000,467499.890000,'PT. LINTAS BERSAMA SV-400 12V  07.2601006','101KM260100007'
'101KM260100008','2026-01-06 00:00:00.000','102-101',0.000000,1240023.950000,'PT. MANGGALA KIAT T-1200  07.2601005','101KM260100008'
'101KM260100009','2026-01-06 00:00:00.000','102-101',0.000000,4165571.220000,'PT. MANGGALA KIAT ANANDA T-1200  07.2601004','101KM260100009'
